PointID,Month,Year,County,Layer upper limit,Layer lower limit,Horizon lower limit,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,Soil texture class,pH_H2O,EC_H2O,pH_CaCl2,TC,TOC,TIC,TN,TS,BD_FS,FSS,Water content,Stone density,BD_bulk,Rock fragment fraction,Mn_Ox,Fe_Ox,Al_Ox,Mn_Di,Fe_Di,Al_Di
2,11,2015,SH        ,0,10,28.0,5.8,33.4,35.4,13.1,3.2,1.5,74.6,17.8,7.6,Sl2,5.29,70.1,4.48,21.83,21.83,0.0,1.79,,1.16,1133.3,20.21,2.65,1.17,2.07245283,,,,,,
2,11,2015,SH        ,10,30,28.0,6.7,32.0,35.8,13.3,3.2,1.6,74.5,18.1,7.4,Sl2,5.11,76.7,4.39,20.75,20.75,0.0,1.73,,1.41,2754.4,19.58,2.65,1.43,2.307924528,,,,,,
2,11,2015,SH        ,30,50,54.0,5.0,27.9,37.8,17.5,3.5,1.7,70.7,22.8,6.5,Sl2,4.63,78.2,3.98,11.51,11.51,0.0,0.82,,1.45,2818.7,15.74,2.65,1.47,2.803773585,,,,,,
2,11,2015,SH        ,50,70,68.0,7.6,31.4,36.6,14.4,3.0,1.2,75.6,18.6,5.8,Sl2,4.73,64.8,4.15,6.91,6.91,0.0,0.49,,1.3,2138.5,11.75,2.65,,10.0,,,,,,
2,11,2015,SH        ,70,100,96.0,5.8,43.1,42.3,4.1,1.3,0.6,91.2,6.0,2.8,mSfs,4.9,35.5,4.23,1.57,1.57,0.0,0.11,,1.54,4438.5,5.93,2.65,1.59,3.928301887,,,,,,
3,6,2016,SH        ,0,10,12.0,0.1,0.4,42.3,22.6,7.2,5.3,42.8,35.1,22.1,Ls3,5.14,177.9,4.69,20.64,20.64,0.0,1.92,,1.27,1268.0,17.99,2.65,1.27,0.050566038,,,,,,
3,6,2016,SH        ,10,30,30.0,0.2,0.4,40.1,21.5,7.6,6.4,40.6,35.5,23.9,Ls3,5.44,54.9,4.86,15.89,15.89,0.0,1.53,,1.43,2860.0,22.48,2.65,1.43,0.0,,,,,,
3,6,2016,SH        ,30,50,54.0,0.1,0.4,47.9,18.4,7.2,3.8,48.5,29.4,22.1,Ls4,6.32,50.5,5.81,5.74,5.74,0.0,0.59,,1.57,3140.0,20.51,2.65,1.57,0.0,,,,,,
3,6,2016,SH        ,50,70,125.0,0.2,0.6,24.5,26.8,10.1,6.8,25.3,43.7,31.0,Lt2,6.48,56.5,5.92,5.79,5.79,0.0,0.62,,1.39,2780.0,30.27,2.65,1.39,0.0,,,,,,
3,6,2016,SH        ,70,100,125.0,0.2,0.3,18.8,24.0,11.1,7.1,19.3,42.2,38.5,Lt3,6.42,67.0,5.93,5.81,5.81,0.0,0.62,,1.47,4410.0,28.11,2.65,1.47,0.0,,,,,,
4,8,2018,SH        ,0,10,30.0,0.6,1.7,19.9,21.4,13.4,6.7,22.2,41.5,36.3,Lt3,5.5,86.2,5.03,19.15,19.15,0.0,1.88,,1.29,1287.5,30.58,2.65,1.29,0.0,,,,,,
4,8,2018,SH        ,10,30,30.0,0.6,1.6,20.4,21.2,13.8,7.1,22.6,42.1,35.3,Lt3,5.64,112.7,5.05,15.17,15.17,0.0,1.58,,1.35,2699.0,26.0,2.65,1.35,0.009811321,,,,,,
4,8,2018,SH        ,30,50,74.0,0.9,2.3,10.9,19.9,15.3,9.4,14.0,44.5,41.5,Lt3,6.42,134.9,5.88,22.2,22.2,0.0,2.35,,1.37,2740.0,29.07,2.65,1.37,0.0,,,,,,
4,8,2018,SH        ,50,70,74.0,0.4,1.4,15.5,16.9,14.4,7.1,17.3,38.4,44.3,Lt3,6.73,137.5,6.38,10.28,10.28,0.0,1.16,,1.48,2960.0,26.65,2.65,1.48,0.0,,,,,,
4,8,2018,SH        ,70,100,140.0,0.5,0.5,25.8,19.7,11.5,6.2,26.8,37.4,35.8,Lt3,6.98,233.0,6.68,6.52,6.52,0.0,0.72,,1.49,4470.0,23.01,2.65,1.49,0.0,,,,,,
5,10,2015,SH        ,0,10,9.0,1.0,48.7,44.6,1.7,0.9,0.4,94.2,3.0,2.8,mSfs,6.14,125.9,5.0,33.75,33.75,0.0,2.66,,1.16,1154.8,25.4,2.65,1.16,0.031698113,,,,,,
5,10,2015,SH        ,10,30,30.0,1.2,48.6,44.7,2.0,0.9,0.0,94.5,2.9,2.6,mSfs,5.34,48.0,4.29,17.01,17.01,0.0,1.15,,1.47,2930.5,12.1,2.65,1.47,0.212075472,,,,,,
5,10,2015,SH        ,30,50,54.0,0.4,43.7,52.2,1.5,0.4,0.1,96.4,2.0,1.6,fSms,5.52,34.0,4.68,12.33,12.33,0.0,0.67,,1.45,2900.0,11.43,2.65,1.45,0.0,,,,,,
5,10,2015,SH        ,50,62,62.0,1.1,63.5,27.4,1.6,1.7,1.0,92.0,4.3,3.7,mSfs,5.86,46.3,5.05,75.06,75.06,0.0,3.44,,1.03,1235.6,60.94,2.65,1.03,0.0,,,,,,
5,10,2015,SH        ,62,70,69.0,1.2,66.3,29.5,1.3,0.7,0.0,97.0,2.0,1.0,mSfs,5.93,21.6,5.1,10.89,10.89,0.0,0.36,,1.48,1184.0,11.22,2.65,1.48,0.0,,,,,,
