,PointID,Month,Year,County,Layer upper limit,Layer lower limit,Horizon lower limit,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,Soil texture class,pH_H2O,EC_H2O,pH_CaCl2,TC,TOC,TIC,TN,TS,BD_FS,FSS,Water content,Stone density,BD_bulk,Rock fragment fraction,Mn_Ox,Fe_Ox,Al_Ox,Mn_Di,Fe_Di,Al_Di
1429,339,6,2011,NI        ,30,50,60.0,0.0,0.0,32.3,44.4,6.0,2.1,32.3,52.5,15.2,Uls,6.21,23.7,5.48,4.07,4.07,0.0,0.52,,1.46,2920.0,12.86,2.65,1.46,0.0,,,,,,
3507,992,3,2011,NI        ,30,50,72.0,2.9,12.8,10.8,52.5,9.8,3.0,26.5,65.3,8.2,Ut2,6.48,35.4,5.66,5.93,5.93,0.0,0.56,,1.57,3135.5,18.87,2.65,1.57,0.141886792,,,,,,
3636,1037,3,2011,NI        ,30,50,85.0,0.0,0.9,5.9,70.5,11.0,2.6,6.8,84.2,9.0,Ut2,6.75,45.6,6.15,1.78,1.78,0.0,0.18,,1.34,2680.0,35.53,2.65,1.34,0.0,,,,,,
3790,1096,3,2011,NI        ,30,40,40.0,0.7,5.0,6.3,64.0,13.2,2.5,12.0,79.7,8.3,Ut2,6.01,32.0,5.55,12.07,12.07,0.0,1.01,,1.4,1398.8,18.03,2.65,1.4,0.083773585,,,,,,
3791,1096,3,2011,NI        ,40,50,68.0,0.3,3.5,5.6,66.5,13.3,3.0,9.5,82.8,7.7,Uu,6.14,40.8,5.6,7.14,7.14,0.0,0.72,,1.38,1379.8,20.11,2.65,1.38,0.011320755,,,,,,
3923,1155,8,2011,NI        ,30,50,67.0,0.2,2.7,7.3,66.6,13.3,4.1,10.2,83.9,5.9,Uu,5.6,70.8,5.13,6.07,6.07,0.0,0.57,,1.35,2699.3,18.77,2.65,1.35,0.02490566,,,,,,
3930,1157,3,2011,NI        ,30,50,47.0,0.5,6.9,9.4,60.3,11.5,2.1,16.8,73.9,9.3,Ut2,6.16,36.0,5.43,2.02,2.02,0.0,0.19,,1.52,2979.2,20.05,2.65,1.52,2.0,,,,,,
3936,1158,4,2011,NI        ,30,50,49.0,0.3,2.9,6.0,61.2,13.8,2.7,9.1,77.7,13.2,Ut3,6.18,85.8,5.69,2.95,2.95,0.0,0.3,,1.56,3120.0,20.79,2.65,1.56,0.0,,,,,,
4893,1486,10,2011,NI        ,30,50,52.0,0.9,15.5,11.4,51.4,11.1,2.8,27.9,65.3,6.8,Us,7.38,46.0,7.0,4.85,4.85,0.0,0.52,,1.59,3178.5,15.05,2.65,1.59,0.046037736,,,,,,
5042,1551,8,2011,NI        ,30,50,53.0,0.3,2.1,1.9,59.8,19.3,3.6,4.2,82.7,13.1,Ut3,7.84,139.8,7.28,6.31,5.62,0.69,0.72,,1.54,3038.2,8.74,2.65,1.54,1.358490566,,,,,,
5192,1607,8,2011,NI        ,30,40,40.0,0.1,0.5,2.4,64.8,15.0,3.7,2.9,83.5,13.6,Ut3,6.48,68.4,5.97,10.46,10.46,0.0,1.0,,1.39,1388.4,15.49,2.65,1.39,0.0,378.77,3.7,1.62,406.76,8.41,2.15
