PointID,Probenahme_Monat,Probenahme_Jahr
2,11,2015
3,6,2016
4,8,2018
5,10,2015
6,10,2015
7,3,2015
8,11,2015
10,3,2016
11,5,2016
12,9,2017
14,11,2015
15,3,2016
16,10,2016
17,10,2016
18,10,2015
19,3,2016
20,3,2017
21,4,2016
22,11,2015
23,4,2016
24,8,2017
25,1,2016
27,11,2015
28,11,2015
29,5,2016
30,1,2016
31,3,2016
32,10,2016
33,10,2016
35,4,2016
36,3,2017
37,11,2015
38,11,2016
41,1,2016
42,8,2016
43,2,2016
44,9,2012
46,8,2017
48,10,2016
49,8,2016
50,9,2018
52,10,2016
55,10,2016
57,3,2014
58,6,2016
59,11,2016
60,8,2016
62,9,2017
63,4,2016
64,7,2017
65,7,2016
66,9,2016
67,5,2016
68,5,2016
69,8,2017
71,11,2012
72,3,2014
73,9,2012
74,9,2012
75,3,2014
76,9,2016
77,11,2016
78,11,2016
80,2,2016
81,4,2016
82,1,2016
83,4,2016
84,6,2016
85,5,2016
86,3,2017
87,7,2016
88,8,2017
89,8,2016
91,3,2014
92,1,2013
93,9,2012
95,9,2012
96,9,2012
97,9,2016
98,8,2017
100,9,2018
101,6,2016
102,11,2016
104,10,2016
106,8,2017
107,8,2017
112,3,2016
113,8,2017
114,8,2016
116,9,2016
119,11,2013
120,10,2012
121,10,2012
123,11,2012
124,9,2016
125,8,2018
126,6,2016
127,11,2016
128,6,2016
129,4,2017
131,4,2017
132,2,2017
134,8,2016
136,4,2016
137,4,2017
138,10,2016
140,7,2016
141,11,2017
144,3,2012
145,11,2012
146,3,2012
147,4,2013
148,9,2012
149,9,2012
150,9,2012
151,9,2016
152,8,2018
153,8,2018
155,10,2017
156,9,2018
158,9,2018
160,8,2016
161,8,2016
162,9,2017
166,8,2017
167,8,2016
170,9,2012
171,7,2012
172,4,2013
175,8,2012
176,4,2013
177,9,2012
179,3,2012
181,3,2014
182,9,2012
183,9,2012
184,9,2012
185,6,2016
186,11,2016
187,9,2016
188,3,2017
190,8,2017
191,5,2016
192,10,2016
193,8,2016
194,8,2017
195,8,2016
197,8,2016
198,11,2016
199,8,2016
200,3,2013
201,8,2012
202,9,2012
203,4,2012
205,9,2012
206,7,2012
207,9,2012
208,8,2012
210,4,2012
211,10,2012
212,9,2012
213,7,2012
214,9,2012
215,9,2012
218,9,2016
219,9,2016
220,3,2017
221,10,2016
222,10,2016
225,11,2016
229,4,2017
230,8,2017
232,2,2017
233,10,2012
234,9,2012
236,4,2012
237,8,2012
238,9,2012
240,5,2012
241,4,2012
242,9,2012
243,7,2012
244,8,2012
245,9,2012
246,9,2012
247,4,2012
249,10,2013
250,7,2012
251,10,2012
252,9,2012
253,9,2012
254,7,2012
255,4,2013
257,8,2018
258,6,2016
259,11,2016
260,9,2016
261,9,2016
262,9,2016
263,8,2018
264,8,2018
265,2,2017
266,11,2017
269,8,2017
270,8,2016
271,3,2017
272,7,2016
273,12,2012
274,12,2012
276,8,2012
277,9,2012
278,8,2012
279,4,2012
280,8,2012
281,9,2012
283,4,2012
284,4,2012
285,11,2012
286,7,2012
287,4,2012
288,4,2012
289,10,2012
290,9,2012
291,7,2012
292,9,2012
293,5,2012
294,9,2012
295,8,2012
297,8,2012
300,9,2016
301,9,2016
304,4,2017
305,2,2017
306,10,2016
308,8,2016
309,4,2017
313,7,2013
316,8,2012
317,9,2012
318,3,2013
320,4,2012
322,7,2012
323,9,2012
324,5,2012
325,4,2012
326,9,2012
328,7,2012
329,7,2012
330,4,2012
331,8,2012
332,7,2012
333,8,2012
334,8,2012
335,9,2012
336,4,2012
338,9,2011
339,6,2011
341,10,2011
344,9,2016
345,10,2016
346,9,2018
347,10,2016
348,9,2017
349,11,2016
350,5,2016
351,11,2016
353,2,2017
354,2,2017
356,10,2012
357,8,2012
358,8,2012
361,8,2012
364,4,2012
365,4,2012
366,8,2012
368,4,2012
371,10,2012
372,4,2012
373,9,2012
374,3,2012
375,9,2012
377,4,2012
379,7,2012
380,10,2012
382,5,2012
383,10,2012
384,9,2011
385,8,2011
386,6,2011
387,6,2011
388,7,2011
390,10,2011
391,9,2011
393,9,2016
394,10,2016
395,10,2016
399,5,2016
400,8,2016
401,2,2017
402,4,2016
406,8,2012
408,10,2012
409,9,2012
410,9,2012
411,5,2012
412,9,2012
413,5,2012
414,9,2012
416,8,2012
417,9,2012
418,10,2012
419,7,2012
421,8,2012
422,7,2012
423,3,2012
426,11,2012
427,4,2012
428,9,2012
429,4,2013
430,5,2012
434,5,2011
435,9,2011
436,11,2011
437,8,2011
438,8,2011
439,12,2012
440,7,2011
441,6,2011
442,6,2011
443,5,2011
445,11,2011
446,5,2011
447,7,2011
449,6,2016
450,10,2016
455,2,2017
456,8,2016
458,4,2016
461,8,2012
462,9,2012
464,8,2012
469,7,2013
471,7,2012
473,8,2012
474,9,2012
476,12,2012
477,9,2012
478,8,2012
479,8,2012
480,9,2012
483,5,2012
486,10,2012
488,9,2011
489,8,2011
490,7,2011
493,7,2011
497,6,2011
499,5,2011
